raw_comp_writers_text,CLEAN_TEXT,normalized_text
Les Pattinson/Will Sergeant/Ian Mcculloch/Pete DeFreitas,Les Pattinson/Will Sergeant/Ian Mcculloch/Pete DeFreitas,Les Pattinson/Will Sergeant/Ian Mcculloch/Pete DeFreitas
"<Unknown>/Sanchez, Fernando",Sanchez/Fernando,Sanchez
Randy Bachman,Randy Bachman,Randy Bachman
Heitor Pereira,Heitor Pereira,Heitor Pereira
Percy Mayfield,Percy Mayfield,Percy Mayfield
Rufus Moore/Cory Peterson,Rufus Moore/Cory Peterson,Rufus Moore/Cory Peterson
WREN MUSIC CO,,WREN MUSIC CO
JOSE DEL CARMEN GARABITA MURAN,JOSE DEL CARMEN GARABITA MURAN,JOSE DEL CARMEN GARABITA MURAN
Andrew Gold,Andrew Gold,Andrew Gold
Antoine Ferrand/Christopher Raeburn/Wolfgang Amadeus Mozart,Antoine Ferrand/Christopher Raeburn/Wolfgang Amadeus Mozart,Antoine Ferrand/Christopher Raeburn/Wolfgang Amadeus Mozart
Sipili Nanai,Sipili Nanai,Sipili Nanai
John Lennon,John Lennon,John Lennon
David Mark Hall/James Michael Hall-Brown,,David Mark Hall/James Michael Hall-Brown
Fruits Music/copyright control,,Fruits Music
Augusto Hernández/Luis Tárraga/J. Molly,Augusto Hernández/Luis Tárraga/J. Molly,Augusto Hernández/Luis Tárraga/J. Molly
MISIA/松井寛,MISIA,MISIA
David Tesar,David Tesar,David Tesar
M.I.N.D,M.I.N.D,M.I.N.D
GROOVE SURFERS/鈴木計見,GROOVE SURFERS,GROOVE SURFERS
David Prowse/Brian Andrew King,David Prowse/Brian Andrew King,David Prowse/Brian Andrew King
Jack Splash/CeeLo Green,Jack Splash/CeeLo Green,Jack Splash/CeeLo Green
Dispatch/Brad Corrigan/BMG BUMBLEBEE OBO ARSED MUSIC/KOBALT MUSIC PUB AMERICA I OBO TALK STRETCH PUBLISHING/Cloudberry Farm Publishing (BMI) Adminstered by Songs of Kobalt Music Publishing/Who Is That Man Publishing (BMI) Adminstered by Songs of Kobalt Music Publishing/Pete Repete Publishing (BMI) Adminstered by Songs of Kobalt Music Publishing,Dispatch/Brad Corrigan/) Adminstered by Songs of Kobalt Music Publishing,Dispatch/Brad Corrigan/BMG BUMBLEBEE OBO ARSED MUSIC/KOBALT MUSIC PUB AMERICA I OBO TALK STRETCH PUBLISHING/Cloudberry Farm Publishing  Adminstered by Songs of Kobalt Music Publishing/Who Is That Man Publishing  Adminstered by Songs of Kobalt Music Publishing/Pete Repete Publishing  Adminstered by Songs of Kobalt Music Publishing
Soziedad Alkoholika,Soziedad Alkoholika,Soziedad Alkoholika
Jatin-Lalit,Jatin-Lalit,Jatin-Lalit
Nahúm Francisco Peláez Mariano,Nahúm Francisco Peláez Mariano,Nahúm Francisco Peláez Mariano
V. Stewart,V. Stewart,V. Stewart
BoofPaxkMooky,BoofPaxkMooky,BoofPaxkMooky
Daniel Parrilla,Daniel Parrilla,Daniel Parrilla
Jack Stauber,Jack Stauber,Jack Stauber
Agustín Lara,Agustín Lara,Agustín Lara
"<Unknown>/Mendoza, Homy",Mendoza/Homy,Mendoza/Homy
"<Unknown>/Payne, Donald",Payne/Donald,Payne/Donald
Norma Pelico,Norma Pelico,Norma Pelico
K. Rudolf/C. Berishaj/J. Halavacs/Kevin Rudolf/Jeff Halatrax/Savan Kotecha,K. Rudolf/C. Berishaj/J. Halavacs/Kevin Rudolf/Jeff Halatrax/Savan Kotecha,K. Rudolf/C. Berishaj/J. Halavacs/Kevin Rudolf/Jeff Halatrax/Savan Kotecha
Ric Ocasek,Ric Ocasek,Ric Ocasek
Jerrell Bailey,Jerrell Bailey,Jerrell Bailey
Trad.,Trad.,Trad.
Ferruccio Busoni,Ferruccio Busoni,Ferruccio Busoni
Jacob Daniel Wipf/James Robert Mckenney/Jonathan Walter Diehl/Kevin Brandon Kruelle,Jacob Daniel Wipf/James Robert Mckenney/Jonathan Walter Diehl/Kevin Brandon Kruelle,Jacob Daniel Wipf/James Robert Mckenney/Jonathan Walter Diehl/Kevin Brandon Kruelle
Richard Melville Hall,Richard Melville Hall,Richard Melville Hall
Rich the Kid/Cassius Jay,Rich the Kid/Cassius Jay,Rich the Kid/Cassius Jay
Lisandro Meza,Lisandro Meza,Lisandro Meza
SLYMON & Smirn,,SLYMON/Smirn
Nhật Trung,,Nhật Trung
Karen Itzel Sanchez,Karen Itzel Sanchez,Karen Itzel Sanchez
CHASE B/Aaron Booe/Teddy Walton/Gerald Tiller/Chase Benjamin/Jacques Webster/Maurice Gleaton/Jeffery Williams/Bernard Leverette/Jamall Willingham/Mathangi Arulpragasam,CHASE B/Aaron Booe/Teddy Walton/Gerald Tiller/Chase Benjamin/Jacques Webster/Maurice Gleaton/Jeffery Williams/Bernard Leverette/Jamall Willingham/Mathangi Arulpragasam,CHASE B/Aaron Booe/Teddy Walton/Gerald Tiller/Chase Benjamin/Jacques Webster/Maurice Gleaton/Jeffery Williams/Bernard Leverette/Jamall Willingham/Mathangi Arulpragasam
Rubeinstein McClure,Rubeinstein McClure,Rubeinstein McClure
Kevin Gates,Kevin Gates,Kevin Gates
RiskTaker D-Boy,RiskTaker D-Boy,RiskTaker D-Boy
GetRichZay,GetRichZay,GetRichZay
Blind Lemon Jefferson,Blind Lemon Jefferson,Blind Lemon Jefferson
Nikolai Rimsky-Korsakov,Nikolai Rimsky-Korsakov,Nikolai Rimsky-Korsakov
CA STREUTGERS THOMAS L/PA TOMMY TORNADO & THE CLERKS,STREUTGERS/THOMAS/L/PA/TOMMY/TORNADO/&/THE/CLERKS,CA STREUTGERS THOMAS L/PA TOMMY TORNADO/THE CLERKS
"<Unknown>/Payano, Antonio",Payano/Antonio,Payano/Antonio
Dianer Moreno Betancourth,Dianer Moreno Betancourth,Dianer Moreno Betancourth
Jorge Navarrete/Eduardo Antonio Baptista Lucio,Jorge Navarrete/Eduardo Antonio Baptista Lucio,Jorge Navarrete/Eduardo Antonio Baptista Lucio
lexo,lexo,lexo
Gezin/Juice WRLD/Max Lord/NILS,Gezin/Juice WRLD/Max Lord/NILS,Gezin/Juice WRLD/Max Lord/NILS
Goblin Mixes,Goblin Mixes,Goblin Mixes
李斌,,
Morty Shad,Morty Shad,Morty Shad
Ngọc Chánh/Phạm Duy,,Ngọc Chánh/Phạm Duy
Ali&/Eill/Jun,Ali/Eill/Jun,Ali/Eill/Jun
Олег Скобля,,
Andres Allen/Hilarop Duran,Andres Allen/Hilarop Duran,Andres Allen/Hilarop Duran
Rudi Stephan/Gerda von Robertus,Rudi Stephan/Gerda von Robertus,Rudi Stephan/Gerda von Robertus
Madalyn Simon,Madalyn Simon,Madalyn Simon
Mithra 眞/Tablo/DJ Tukutz,Mithra/Tablo/DJ Tukutz,Mithra 眞/Tablo/DJ Tukutz
Mario Javier Coto,Mario Javier Coto,Mario Javier Coto
Wyatt Towler,Wyatt Towler,Wyatt Towler
Nathan William Hose,Nathan William Hose,Nathan William Hose
Premo Rice,Premo Rice,Premo Rice
Yanko Rojas Mena,Yanko Rojas Mena,Yanko Rojas Mena
"Punchy Punch Productionz. Presentz Pimpz, Playaz & Hustlaz(Dominator of Triple C, Selo, Punchy Punch, Kid Frost)",Punchy Punch Productionz. Presentz Pimpz/Playaz & Hustlaz(Dominator of Triple C/Selo/Punchy Punch/Kid Frost,Punchy Punch Productionz. Presentz Pimpz/Playaz/Hustlaz(Dominator of Triple C/Selo/Punchy Punch/Kid Frost)
Dominic Angas,Dominic Angas,Dominic Angas
Shiv-Hari/Shahryar,Shiv-Hari/Shahryar,Shiv-Hari/Shahryar
"Abbott, Charles",Abbott/Charles,Abbott/Charles
Rich the Factor,Rich the Factor,Rich the Factor
"ALLBLACK,Nef The Pharaoh,Rexx Life Raj",ALLBLACK/Nef The Pharaoh/Rexx Life Raj,ALLBLACK/Nef The Pharaoh/Rexx Life Raj
Seyi Vibez,Seyi Vibez,Seyi Vibez
James Williams/Hubert Eaves III,James Williams/Hubert Eaves III,James Williams/Hubert Eaves III
Juan Valdivia/Bunbury/Pedro Andreu/Joaquín Cardiel,Juan Valdivia/Bunbury/Pedro Andreu/Joaquín Cardiel,Juan Valdivia/Bunbury/Pedro Andreu/Joaquín Cardiel
Andreas Bygdell/Johan Wahlberg/Lina Ohman/Olov Andersson,Andreas Bygdell/Johan Wahlberg/Lina Ohman/Olov Andersson,Andreas Bygdell/Johan Wahlberg/Lina Ohman/Olov Andersson
Adam Anders/Peer Astrom/Ryan Murphy/Stephen Sondheim/Leonard Bernstein,Adam Anders/Peer Astrom/Ryan Murphy/Stephen Sondheim/Leonard Bernstein,Adam Anders/Peer Astrom/Ryan Murphy/Stephen Sondheim/Leonard Bernstein
Nil Moliner,Nil Moliner,Nil Moliner
Pedro Murart,Pedro Murart,Pedro Murart
Warner Chappell,,Warner Chappell
Salvatore Cammarano/Giuseppe Verdi,Salvatore Cammarano/Giuseppe Verdi,Salvatore Cammarano/Giuseppe Verdi
Irisvaldo Silva,Irisvaldo Silva,Irisvaldo Silva
Ciro Paniagua,Ciro Paniagua,Ciro Paniagua
Megalodon,,Megalodon
Douglas Besterman/Stephen Flaherty/Lynn Ahrens,Douglas Besterman/Stephen Flaherty/Lynn Ahrens,Douglas Besterman/Stephen Flaherty/Lynn Ahrens
四方章人/万城たかし,,
Lukas Stütz,Lukas Stütz,Lukas Stütz
Daniel Pearce/Nesbitt Wesonga Jr.,Daniel Pearce/Nesbitt Wesonga Jr.,Daniel Pearce/Nesbitt Wesonga Jr.
Brad Michael Tukes,Brad Michael Tukes,Brad Michael Tukes
김창환,,
Elijah Lewis,Elijah Lewis,Elijah Lewis
Anne Jennifer Dudley/Paul Robert Morley/Gary Michael Langan/Lah Pat/Trevor Charles Horn/Johnny Simmons/Jonathan Edward Stephen,Anne Jennifer Dudley/Paul Robert Morley/Gary Michael Langan/Lah Pat/Trevor Charles Horn/Johnny Simmons/Jonathan Edward Stephen,Anne Jennifer Dudley/Paul Robert Morley/Gary Michael Langan/Lah Pat/Trevor Charles Horn/Johnny Simmons/Jonathan Edward Stephen
Tasleem Fazli,Tasleem Fazli,Tasleem Fazli
"Baker,Haarper",Baker/Haarper,Baker/Haarper
Sean Feucht/Scott Ligertwood/Brooke Fraser,Sean Feucht/Scott Ligertwood/Brooke Fraser,Sean Feucht/Scott Ligertwood/Brooke Fraser
Lloyd James Jr,Lloyd James Jr,Lloyd James Jr
Ebenezer Obey,Ebenezer Obey,Ebenezer Obey
Patrick Tang/Riley Lam,Patrick Tang/Riley Lam,Patrick Tang/Riley Lam
"<Unknown>/Walker, Quameo",Walker/Quameo,Walker/Quameo
Jim Brickman,Jim Brickman,Jim Brickman
M. Hoffmans,M. Hoffmans,M. Hoffmans
Queen Key,Queen Key,Queen Key
Scott Fitzgerald,Scott Fitzgerald,Scott Fitzgerald
Hi Power,Hi Power,Hi Power
たかやん (Takayan),Takayan,
Kevin L Barnes,Kevin L Barnes,Kevin L Barnes
Sternell Christopher Johnson/Darius Ramelo Lee,Sternell Christopher Johnson/Darius Ramelo Lee,Sternell Christopher Johnson/Darius Ramelo Lee
Patrick Hawes,Patrick Hawes,Patrick Hawes
徐朗,,
Royce da 5′9″/Mr. Porter,Royce da 5′9″/Mr. Porter,Royce da 5′9″/Mr. Porter
"<Unknown>/Goad, Larry",Goad/Larry,Goad/Larry
Lucas Hoge/Corey Lee Barker,Lucas Hoge/Corey Lee Barker,Lucas Hoge/Corey Lee Barker
Trellion/Ryan Kirk/Bad Taste Music/Luke Valerio-Depledge,Trellion/Ryan Kirk/Luke Valerio-Depledge,Trellion/Ryan Kirk/Bad Taste Music/Luke Valerio-Depledge
Ethan Gluis,Ethan Gluis,Ethan Gluis
Kedrick Rodiguez Anguiano,Kedrick Rodiguez Anguiano,Kedrick Rodiguez Anguiano
ビッケブランカ,,
Arthur Nery,Arthur Nery,Arthur Nery
Jissel Shaddai Carvajalino Acosta,Jissel Shaddai Carvajalino Acosta,Jissel Shaddai Carvajalino Acosta
Los Zultannes del Norte,Los Zultannes del Norte,Los Zultannes del Norte
Michel Crosio/Marla Glen,Michel Crosio/Marla Glen,Michel Crosio/Marla Glen
Kevin Dejean,Kevin Dejean,Kevin Dejean
Don Black/Andrew Lloyd Webber/Charles Hart,,Don Black/Andrew Lloyd Webber/Charles Hart
MacRae,MacRae,MacRae
Lou Reed,Lou Reed,Lou Reed
Sharma & Singh,Sharma/Singh,Sharma/Singh
Naoto Kubo,Naoto Kubo,Naoto Kubo
Chick Corea,Chick Corea,Chick Corea
Marco Benassi/Salena Mastroianni/Nicholas Henriques/Kelli-Leigh Henry-Davila/Riccardo Marchi,Marco Benassi/Salena Mastroianni/Nicholas Henriques/Kelli-Leigh Henry-Davila/Riccardo Marchi,Marco Benassi/Salena Mastroianni/Nicholas Henriques/Kelli-Leigh Henry-Davila/Riccardo Marchi
Jacques-Christophe Naudot,Jacques-Christophe Naudot,Jacques-Christophe Naudot
Fryderyk Chopin,Fryderyk Chopin,Fryderyk Chopin
Deezy/Durk Banks/Dequin Ramey/Herbert Wright,Deezy/Durk Banks/Dequin Ramey/Herbert Wright,Deezy/Durk Banks/Dequin Ramey/Herbert Wright
PUBLISHER UNKNOWN/WRITER UNKNOWN,,PUBLISHER UNKNOWN
Isaiam,Isaiam,Isaiam
Todd Christensen,Todd Christensen,Todd Christensen
"<Unknown>/Tonks, Simon",Tonks/Simon,Tonks/Simon
Trương Quang Tuấn,,Trương Quang Tuấn
Evandro Santos,Evandro Santos,Evandro Santos
BASHIR  OMAR/WAJDI  MURAD/WRITER UNKNOWN,BASHIR/OMAR/WAJDI/MURAD,BASHIR  OMAR/WAJDI  MURAD
Adam Anderson/Theo Hutchcraft,Adam Anderson/Theo Hutchcraft,Adam Anderson/Theo Hutchcraft
Andrea Ronchi,Andrea Ronchi,Andrea Ronchi
Btg Bug,Btg Bug,Btg Bug
Sutton Kelley,Sutton Kelley,Sutton Kelley
John Larkin/Antonio Nunzio Catania,John Larkin/Antonio Nunzio Catania,John Larkin/Antonio Nunzio Catania
Tan DaGod/Panamathekid,Tan DaGod/Panamathekid,Tan DaGod/Panamathekid
Aaron Hernandez,Aaron Hernandez,Aaron Hernandez
José Barros,José Barros,José Barros
"Amirhossein Bakizadeh, Amir Ribar & Shayan Roohi",Amirhossein Bakizadeh/Amir Ribar/Shayan Roohi,Amirhossein Bakizadeh/Amir Ribar/Shayan Roohi
Bobby Sandimanie & Destroy Lonely,Bobby Sandimanie/Destroy Lonely,Bobby Sandimanie/Destroy Lonely
BIGBAND Entertainment,,BIGBAND Entertainment
Ricardo Mejía/Óscar Toscano,Ricardo Mejía/Óscar Toscano,Ricardo Mejía/Óscar Toscano
Ian Paice/Roger Glover/Ritchie Blackmore/Ian Gillan/Jon Lord,Ian Paice/Roger Glover/Ritchie Blackmore/Ian Gillan/Jon Lord,Ian Paice/Roger Glover/Ritchie Blackmore/Ian Gillan/Jon Lord
"<Unknown>/Ford, Marcellus Leon",Ford/Marcellus Leon,Ford/Marcellus Leon
Борисенко Савелий Витальевич,,
Kuma the Third,Kuma the Third,Kuma the Third
Anna Timgren/이스란/Alawn,Anna Timgren/Alawn,Anna Timgren/Alawn
MERCER CHRISTOPHER WILLIAM,MERCER/CHRISTOPHER/WILLIAM,MERCER CHRISTOPHER WILLIAM
Penyair,Penyair,Penyair
Clarken Orosco,Clarken Orosco,Clarken Orosco
Profit Child,Profit Child,Profit Child
"<Unknown>/Monti, Daniel",Monti/Daniel,Monti/Daniel
ANTONA TOMAS/HAYES SISSI/JUNG MICHAEL/MARSHALL RICHARD/MOSES STEPHEN,ANTONA TOMAS/HAYES SISSI/JUNG MICHAEL/MARSHALL RICHARD/MOSES STEPHEN,ANTONA TOMAS/HAYES SISSI/JUNG MICHAEL/MARSHALL RICHARD/MOSES STEPHEN
David Gray,David Gray,David Gray
Bobomurod Soginboev,Bobomurod Soginboev,Bobomurod Soginboev
"<Unknown>/Cannon, Jason",Cannon/Jason,Cannon/Jason
JOSE JAVIER PEREZ CORCOBADO/obo SGAE,JAVIER/CORCOBADO,JOSE JAVIER PEREZ CORCOBADO/obo SGAE
Erasmo Carlos/Roberto Carlos/Pertti Haverinen,Erasmo Carlos/Roberto Carlos/Pertti Haverinen,Erasmo Carlos/Roberto Carlos/Pertti Haverinen
ESPINOZA AARON/MURRAY ARIANA,ESPINOZA AARON/MURRAY ARIANA,ESPINOZA AARON/MURRAY ARIANA
Vincent Clarke,Vincent Clarke,Vincent Clarke
Zé Paulo/Tonho Matéria,Zé Paulo/Tonho Matéria,Zé Paulo/Tonho Matéria
"Christopher Chris Gomez,Mark Christopher Hardin,Quin NFN",Christopher Chris Gomez/Mark Christopher Hardin/Quin NFN,Christopher Chris Gomez/Mark Christopher Hardin/Quin NFN
Fred Fa'afou/Justin Ferguson/Tyree Tautogia/Sid Diamond,,Fred Fa'afou/Justin Ferguson/Tyree Tautogia/Sid Diamond
Okay  Temiz,Okay  Temiz,Okay  Temiz
"<Unknown>/Arakelyan, Grigor",Grigor,Arakelyan/Grigor
Shaun Fleming,Shaun Fleming,Shaun Fleming
Jose Ontiveros Meza,Jose Ontiveros Meza,Jose Ontiveros Meza
KAINA/Eric Owyoung,Eric Owyoung,KAINA/Eric Owyoung
Phora,Phora,Phora
Marin Cretu & Grigore Chirsanov,Marin Cretu/Grigore Chirsanov,Marin Cretu/Grigore Chirsanov
Keidran Jones/Theron Thomas/Kisean Anderson/Timothy Thomas/Jason Desrouleaux/Jonathan Rotem,Keidran Jones/Theron Thomas/Kisean Anderson/Timothy Thomas/Jason Desrouleaux/Jonathan Rotem,Keidran Jones/Theron Thomas/Kisean Anderson/Timothy Thomas/Jason Desrouleaux/Jonathan Rotem
Christoph Friedrich Bretzner/Johann Gottlieb Stephanie D. Jüngere/Wolfgang Amadeus Mozart,Christoph Friedrich Bretzner/Johann Gottlieb Stephanie D. Jüngere/Wolfgang Amadeus Mozart,Christoph Friedrich Bretzner/Johann Gottlieb Stephanie D. Jüngere/Wolfgang Amadeus Mozart
AFN Peso,AFN Peso,AFN Peso
M. Tottis,M. Tottis,M. Tottis
Eagle-Eye Cherry/Peter Kvint/Caleb Heineman,Eagle-Eye Cherry/Peter Kvint/Caleb Heineman,Eagle-Eye Cherry/Peter Kvint/Caleb Heineman
Lil Rob,Lil Rob,Lil Rob
Abelenda Mena,Abelenda Mena,Abelenda Mena
Tyjhier T. Goodman & Darius Smith,Tyjhier T. Goodman/Darius Smith,Tyjhier T. Goodman/Darius Smith
Rayburn Anderson,Rayburn Anderson,Rayburn Anderson
Carlos Eldrako jones jr,Carlos Eldrako jones jr,Carlos Eldrako jones jr
Ed Bout/Huib Schippers,Ed Bout/Huib Schippers,Ed Bout/Huib Schippers
Bill Leeb/Chris Peterson,Bill Leeb/Chris Peterson,Bill Leeb/Chris Peterson
Wolfgang Dörner/Friedemann Engelbrecht,Wolfgang Dörner/Friedemann Engelbrecht,Wolfgang Dörner/Friedemann Engelbrecht
Ирина Дубцова,,
Katie Jane Garside/Orson Wajih/Crispin Gray,Katie Jane Garside/Orson Wajih/Crispin Gray,Katie Jane Garside/Orson Wajih/Crispin Gray
Luc De Vos,Luc De Vos,Luc De Vos
M.M. Keeravani,M.M. Keeravani,M.M. Keeravani
Johannes Brahms,Johannes Brahms,Johannes Brahms
DJ Lucius & Fernando Silveira Cruz,DJ Lucius/Fernando Silveira Cruz,DJ Lucius/Fernando Silveira Cruz
Miles Davis,Miles Davis,Miles Davis
Kore/Ayrton/Aurélien Mazin,Kore/Ayrton/Aurélien Mazin,Kore/Ayrton/Aurélien Mazin
たかやん (Takayan),Takayan,
copyright control,,
JetsonMade/DaBaby/Pooh Beatz,JetsonMade/DaBaby/Pooh Beatz,JetsonMade/DaBaby/Pooh Beatz
Airam Paez,Airam Paez,Airam Paez
Bedřich Smetana,Bedřich Smetana,Bedřich Smetana
"<Unknown>/martinez, fray",martinez/fray,martinez/fray
Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart
Julia Jacklin,Julia Jacklin,Julia Jacklin
Slajf Slajfsson,Slajf Slajfsson,Slajf Slajfsson
Christoph Friedrich Bretzner/Wolfgang Amadeus Mozart/Johann Gottlieb Stephanie D. Jüngere,Christoph Friedrich Bretzner/Wolfgang Amadeus Mozart/Johann Gottlieb Stephanie D. Jüngere,Christoph Friedrich Bretzner/Wolfgang Amadeus Mozart/Johann Gottlieb Stephanie D. Jüngere
Nikki Sixx/Tom Werman,Nikki Sixx/Tom Werman,Nikki Sixx/Tom Werman
"<Unknown>/Keathley, D'marcus",Keathley/D'marcus,Keathley/D'marcus
Jean‐Philippe Rameau,Jean‐Philippe Rameau,Jean‐Philippe Rameau
Mammad Ibrahimov,Mammad Ibrahimov,Mammad Ibrahimov
Styx/Gary Loizzo/Lawrence Gowan,Styx/Gary Loizzo/Lawrence Gowan,Styx/Gary Loizzo/Lawrence Gowan
"Dan Weller/2021 Truth Records, a division of Truth Music Limited/2020 TRUTH MUSIC GROUP LIMITED/2020 TRUTH RECORDS",Dan Weller/TRUTH RECORDS,Dan Weller/2021 Truth Records/a division of Truth Music Limited/2020 TRUTH MUSIC GROUP LIMITED/2020 TRUTH RECORDS
CONTROL  COPYRIGHT/GOKEY DANNY/HULSE  ETHAN/WEDGEWORTH  COLBY,CONTROL/COPYRIGHT/GOKEY/DANNY/HULSE/ETHAN/WEDGEWORTH/COLBY,CONTROL  COPYRIGHT/GOKEY DANNY/HULSE  ETHAN/WEDGEWORTH  COLBY
Loss Mad Vems/Copyright Control,Loss Mad Vems,Loss Mad Vems
HAIRUL ANUAR BIN HARUN/MOHAMMAD FAUZI TAJUDIN (2071025),HAIRUL ANUAR BIN HARUN,HAIRUL ANUAR BIN HARUN/MOHAMMAD FAUZI TAJUDIN
Ben Prokopowicz,Ben Prokopowicz,Ben Prokopowicz
Luigi Rossi,Luigi Rossi,Luigi Rossi
joan sebastian sebastian,joan,joan sebastian sebastian
Katryn Macko/Ryan Stanley,Katryn Macko/Ryan Stanley,Katryn Macko/Ryan Stanley
Aman Jaji/Soyab Choudhary,Aman Jaji/Soyab Choudhary,Aman Jaji/Soyab Choudhary
Pete Gill/Steve Dawson/Biff Byford/Paul Quinn/Graham Oliver,Pete Gill/Steve Dawson/Biff Byford/Paul Quinn/Graham Oliver,Pete Gill/Steve Dawson/Biff Byford/Paul Quinn/Graham Oliver
J.J. Jeczalik/Anne Dudley,J.J. Jeczalik/Anne Dudley,J.J. Jeczalik/Anne Dudley
Francesco Maria Piave/Giuseppe Verdi,Francesco Maria Piave/Giuseppe Verdi,Francesco Maria Piave/Giuseppe Verdi
Shalosh,Shalosh,Shalosh
Roy Brooks/Henry Cosby/William Stevenson,Roy Brooks/Henry Cosby/William Stevenson,Roy Brooks/Henry Cosby/William Stevenson
Chxmula/Christopher Chilongo/Jungle Entertainment Ventures,Chxmula/Christopher Chilongo,Chxmula/Christopher Chilongo/Jungle Entertainment Ventures
RMC Mike,RMC Mike,RMC Mike
Blackboi Draco,Blackboi Draco,Blackboi Draco
植松伸夫,,
Gulshan Sharma,Gulshan Sharma,Gulshan Sharma
CA BIRGISSON JON THOR/CA SOMERS ALEX KENDALL/PA JONSI & ALEX SOMERS,BIRGISSON/JON/THOR/SOMERS/ALEX/KENDALL/PA/JONSI/&/ALEX/SOMERS,CA BIRGISSON JON THOR/CA SOMERS ALEX KENDALL/PA JONSI/ALEX SOMERS
Maurice Ravel,Maurice Ravel,Maurice Ravel
Big Sad 1900,Big Sad 1900,Big Sad 1900
Malo Luafutu/Tenei Kesha,Malo Luafutu/Tenei Kesha,Malo Luafutu/Tenei Kesha
Phil Collins,Phil Collins,Phil Collins
ZAMUDIO SANTOS CASIMIRO,ZAMUDIO/SANTOS/CASIMIRO,ZAMUDIO SANTOS CASIMIRO
Dr. Dre/A. Young/D. Parker/M. Batson/Mark Batson/T. Lawrence/Marshall Mathers,Dr. Dre/A. Young/D. Parker/M. Batson/Mark Batson/T. Lawrence/Marshall Mathers,Dr. Dre/A. Young/D. Parker/M. Batson/Mark Batson/T. Lawrence/Marshall Mathers
Ariel,Ariel,Ariel
Tom Odell/TommyMuzzic/Zachary Abels/Jeremiah Freedman/Jesse James Rutherford,Tom Odell/TommyMuzzic/Zachary Abels/Jeremiah Freedman/Jesse James Rutherford,Tom Odell/TommyMuzzic/Zachary Abels/Jeremiah Freedman/Jesse James Rutherford
Emily Cheng,Emily Cheng,Emily Cheng
Connan Contreras Sanchez/Jose Arturo Gonzalez Huesca,Connan Contreras Sanchez/Jose Arturo Gonzalez Huesca,Connan Contreras Sanchez/Jose Arturo Gonzalez Huesca
Curtis Humphrey,Curtis Humphrey,Curtis Humphrey
Piers Agget/Kesi Dryden/Jonny Harris/Amir Izkadeh/James Newman,Piers Agget/Kesi Dryden/Jonny Harris/Amir Izkadeh/James Newman,Piers Agget/Kesi Dryden/Jonny Harris/Amir Izkadeh/James Newman
Михаил Рябинин/Александр Морозов,,
Th. Ngân/Ngân Giang,,Th. Ngân/Ngân Giang
Clint Breithaupt & Raed Samman,Clint Breithaupt/Raed Samman,Clint Breithaupt/Raed Samman
Chris Isaak,Chris Isaak,Chris Isaak
Matt Ingram,,Matt Ingram
Brutaru Oana/Ilie Eduard Marian,Brutaru Oana/Ilie Eduard Marian,Brutaru Oana/Ilie Eduard Marian
Ramsses Ali Quesada/RAQJ Publishing Inc.,Ramsses Ali Quesada,Ramsses Ali Quesada/RAQJ Publishing Inc.
Javed Akhtar/Vishal-Shekhar,Javed Akhtar/Vishal-Shekhar,Javed Akhtar/Vishal-Shekhar
Thomas Bergersen,Thomas Bergersen,Thomas Bergersen
juan Fernando alonso ortiz,juan Fernando alonso ortiz,juan Fernando alonso ortiz
Koh Sangji,Koh Sangji,Koh Sangji
Mario Quintero Lara,Mario Quintero Lara,Mario Quintero Lara
瑞业/木兰号 aka陈韦伶,,瑞业/木兰号 aka陈韦伶
Willie Lawrence & Spiritual 5,Willie Lawrence/Spiritual 5,Willie Lawrence/Spiritual 5
Robert Hunter/Jerry Garcia,Robert Hunter/Jerry Garcia,Robert Hunter/Jerry Garcia
Eunice Wright & C.D. Cannon Sr.,Eunice Wright,Eunice Wright/C.D. Cannon Sr.
Joe Resnek,Joe Resnek,Joe Resnek
Alessandro Turra/Juan Jose Martinez Jover,,Alessandro Turra/Juan Jose Martinez Jover
"<Unknown>/Payano, Antonio",Payano/Antonio,Payano/Antonio
Bruce Springsteen,Bruce Springsteen,Bruce Springsteen
M. Caspi/I. Magitman,M. Caspi/I. Magitman,M. Caspi/I. Magitman
AJ DiSpirito,AJ DiSpirito,AJ DiSpirito
D.A.R.,,D.A.R.
Efrain Canan,Efrain Canan,Efrain Canan
Rob Hubbard,Rob Hubbard,Rob Hubbard
Mthunzi Namba/Ntuthuko Sibisi/Lindelani Mkhize,Mthunzi Namba/Ntuthuko Sibisi/Lindelani Mkhize,Mthunzi Namba/Ntuthuko Sibisi/Lindelani Mkhize
John McCoy,John McCoy,John McCoy
Darrell Frison,Darrell Frison,Darrell Frison
Xu Wei,Xu Wei,Xu Wei
Vingo Regino,Vingo Regino,Vingo Regino
David Sheats/Antwan Patton/Earthtone III/Neal H. Pogue/Andre Benjamin,David Sheats/Antwan Patton/Earthtone III/Neal H. Pogue/Andre Benjamin,David Sheats/Antwan Patton/Earthtone III/Neal H. Pogue/Andre Benjamin
"Billy Cook,Marvin Watson",Billy Cook/Marvin Watson,Billy Cook/Marvin Watson
Clayton Maselle,Clayton Maselle,Clayton Maselle
BLOUNT JOHNATHON MARC (SP ACCT/SPECIAL ED,,BLOUNT JOHNATHON MARC (SP ACCT/SPECIAL ED
